URL,Title,View Count
http://www.bilibili.com/video/BV1CV4y1N7D2/,【职场沟通】高情商沟通技巧，轻松洞察人心,2242
http://www.bilibili.com/video/BV1oZ4y1k7Kj/,怎么提高说话时的瞬时反应能力？,39.0万
http://www.bilibili.com/video/BV1gt411c7kB/,【情商&amp;沟通】高情商沟通法则，教你实话巧说，说到心窝里,6.2万
http://www.bilibili.com/video/BV1Hv421k7oU/,这就是说话的艺术，一下省了好几万,26.4万
http://www.bilibili.com/video/BV1iL4y1s7XB/,说话的艺术|3个秘密小公式让你出口成章,3.5万
http://www.bilibili.com/video/BV1c9aDeQEHC/,汤晶媚参加节目，低情商发言让在场的嘉宾哑口无言#人情世故#高情商#为人处世#语言艺术,324
http://www.bilibili.com/video/BV1GbeQeyEFJ/,社交聊天谈话中，被人超级嫌弃的3个行为语言！#说话技巧 #社交 #聊天,235
http://www.bilibili.com/video/BV1ST421678t/,情商高会说话的人能有多吃香，三言两语就让对方甘愿办事#人情世故#高情商#为人处世#求人办事#职场,1212
http://www.bilibili.com/video/BV1v4411g7JX/,【每天一堂演讲课】教你说话的艺术,5.2万
http://www.bilibili.com/video/BV1Jx421y7dv/,不会说话的人到底能有多炸裂，看这一家子都是怎样炸翻准儿媳的,17.4万
http://www.bilibili.com/video/BV1c44y1X7Qh/,仅仅三分钟的对话，看懂高情商如何说话,3547
http://www.bilibili.com/video/BV17P4y1M7Wk/,王志文示范说话的艺术，句句都是人情世故（下）,5.9万
http://www.bilibili.com/video/BV1TyiFe8EE4/,跟樊振东学习说话的艺术,9881
http://www.bilibili.com/video/BV1My411z7YF/,领导的说话艺术，不翻译一下句句听不懂。,70.8万
http://www.bilibili.com/video/BV1k3411G7FY/,【专治嘴笨】4个接话技巧聊天不冷场！高情商拿捏｜社恐人必备｜Cecily,1.6万
http://www.bilibili.com/video/BV1hV4y1G7aF/,职场必备！高情商说话技巧,3.0万
http://www.bilibili.com/video/BV1rL411j77d/,沟通技巧-高情商说话方式,680
http://www.bilibili.com/video/BV1Hc41147dB/,体制内领导的私人饭局，没有翻译根本就看不懂。 #体制内 #为人处事 #高情商 #说话的艺术,1.4万
http://www.bilibili.com/video/BV1s24y1e7RB/,高情商的人都有这10大说话习惯，看看你中了哪几个,8350
http://www.bilibili.com/video/BV1gY411E7Bw/,沟通的艺术——这样说话，别人才能听得进去！,2189
http://www.bilibili.com/video/BV1bt4y1N7s1/,当众演讲很尴尬？不妨善用你的肢体语言,2843
http://www.bilibili.com/video/BV1rJ411u7r9/,那些经典且精彩的对白，说话的艺术,2.0万
http://www.bilibili.com/video/BV1Qw411u72E/,高情商会说话的人，到底有多厉害,6.2万
http://www.bilibili.com/video/BV15A4y1X7wT/,说话的艺术 ：10个小技巧让你沟通能力炸裂,6056
http://www.bilibili.com/video/BV1Xw4m1r7yb/,说话让你舒服的人，其实在“降维沟通”,7.7万
